ID,Number of Bags,Bag Weight,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Overall,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
0,1,35 kg,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10,8.58,89.33,11.8,0,0,green,3
1,1,80 kg,Gesha,Washed / Wet,8.5,8.5,7.92,8,7.92,8.25,10,8.5,87.58,10.5,0,0,blue-green,0
2,19,25 kg,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10,8.33,87.42,10.4,0,0,yellowish,2
3,1,22 kg,Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10,8.25,87.17,11.8,0,0,green,0
4,2,24 kg,Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10,8.25,87.08,11.6,0,2,yellow-green,2
5,5,30 kg,Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10,8.25,87,10.7,0,0,green,2
6,1,27 kg,Gesha,Washed / Wet,8.33,8.17,8.08,8,7.83,8.25,10,8.25,86.92,9.1,0,0,green,0
7,1,90 kg,Sl34+Gesha,Natural / Dry,8.25,8.25,8.17,8,7.92,8.08,10,8.08,86.75,10,0,0,yellow green,1
8,1,30 kg,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8,10,8.25,86.67,10.8,0,0,greenish,0
9,320,60 kg,Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8,8,10,8,86.5,11,0,0,greenish,0
10,10,30 kg,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,10,8,86.25,11.8,0,1,greenish,1
11,5,15 kg,Gesha,Natural / Dry,8.08,8,8,7.75,8.25,8.17,10,8,86.25,11.5,0,0,brownish,1
12,1,60 kg,Gesha,Washed / Wet,8.08,8,8.08,8.08,8,8,10,8,86.25,11.9,0,0,green,0
13,40,60 kg,Gesha,Natural / Dry,7.67,8.17,8,8.33,8,8,10,8,86.17,11.6,0,3,yellow- green,2
14,70,35 kg,Caturra,Washed / Wet,8.08,8,8.08,7.92,8.08,8,10,8,86.17,10.6,0,0,green,0
15,1,60 kg,SL34,Pulped natural / honey,8.17,8.08,8,7.92,8,7.92,10,8,86.08,10.2,0,0,green,0
16,8,5 kg,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10,8.08,86.08,11.3,0,2,green,2
